,listing_id,date,available,price,adjusted_price,minimum_nights,maximum_nights
365,31388,2019-06-25,t,$220.00,$220.00,2,730
366,31388,2019-06-26,t,$220.00,$220.00,2,730
367,31388,2019-06-27,t,$220.00,$220.00,2,730
368,31388,2019-06-28,t,$290.00,$290.00,2,730
369,31388,2019-06-29,t,$290.00,$290.00,2,730
370,31388,2019-06-30,t,$220.00,$220.00,2,730
731,1285201,2019-06-25,t,$408.00,$326.00,2,365
732,1285201,2019-06-26,t,$408.00,$326.00,2,365
733,1285201,2019-06-27,t,$408.00,$326.00,2,365
734,1285201,2019-06-28,t,$448.00,$448.00,2,365
735,1285201,2019-06-29,t,$448.00,$448.00,2,365
736,1285201,2019-06-30,t,$408.00,$408.00,4,365
1853,258872,2019-06-25,t,$150.00,$150.00,2,365
1854,258872,2019-06-26,t,$150.00,$150.00,2,365
3374,97632,2019-06-25,t,$65.00,$65.00,1,29
4020,97632,2019-06-26,t,$65.00,$65.00,1,29
4021,97632,2019-06-27,t,$65.00,$65.00,1,29
4558,113019,2019-06-25,t,$99.00,$99.00,2,365
4732,113019,2019-06-26,t,$99.00,$99.00,2,365
4733,113019,2019-06-27,t,$189.00,$189.00,2,365
4734,113019,2019-06-28,t,$259.00,$259.00,3,365
4735,113019,2019-06-29,t,$279.00,$279.00,3,365
4736,113019,2019-06-30,t,$109.00,$109.00,2,365
5001,1324272,2019-06-26,t,$350.00,$350.00,31,1125
5002,1324272,2019-06-27,t,$350.00,$350.00,31,1125
5664,405623,2019-06-26,t,$90.00,$90.00,1,1125
5665,405623,2019-06-27,t,$90.00,$90.00,1,1125
5666,405623,2019-06-28,t,$100.00,$100.00,1,1125
5667,405623,2019-06-29,t,$100.00,$100.00,1,1125
5668,405623,2019-06-30,t,$90.00,$90.00,1,1125
6432,426562,2019-06-25,t,$198.00,$139.00,2,365
6433,426562,2019-06-26,t,$198.00,$139.00,2,365
6573,114140,2019-06-25,t,$119.00,$119.00,2,730
6611,114140,2019-06-26,t,$119.00,$119.00,2,730
6639,1364502,2019-06-28,t,$68.00,$68.00,3,60
6640,1364502,2019-06-29,t,$70.00,$70.00,3,60
6641,1364502,2019-06-30,t,$73.00,$73.00,3,60
7540,1375150,2019-06-25,t,$219.00,$219.00,3,1125
7541,1375150,2019-06-26,t,$219.00,$219.00,3,1125
7542,1375150,2019-06-27,t,$219.00,$219.00,3,1125
7543,1375150,2019-06-28,t,$279.00,$279.00,3,1125
7544,1375150,2019-06-29,t,$279.00,$279.00,3,1125
7545,1375150,2019-06-30,t,$219.00,$219.00,3,1125
7975,137104,2019-06-25,t,"$1,900.00","$1,900.00",2,30
8086,137104,2019-06-26,t,"$1,900.00","$1,900.00",2,30
8087,137104,2019-06-27,t,"$1,900.00","$1,900.00",2,30
8088,137104,2019-06-28,t,"$1,900.00","$1,900.00",2,30
8089,137104,2019-06-29,t,"$1,900.00","$1,900.00",2,30
8090,137104,2019-06-30,t,"$1,900.00","$1,900.00",2,30
8619,548524,2019-06-30,t,$172.00,$155.00,2,1125
9202,143096,2019-06-26,t,$150.00,$150.00,2,730
9206,143096,2019-06-30,t,$150.00,$150.00,2,730
10755,1484286,2019-06-26,t,$85.00,$85.00,4,365
10756,1484286,2019-06-27,t,$85.00,$85.00,4,365
12327,601124,2019-06-30,t,$140.00,$140.00,3,7
13175,635548,2019-06-25,t,$37.00,$37.00,2,7
13176,635548,2019-06-26,t,$37.00,$37.00,2,7
13177,635548,2019-06-27,t,$37.00,$37.00,2,7
13178,635548,2019-06-28,t,$39.00,$39.00,2,7
13179,635548,2019-06-29,t,$39.00,$39.00,2,7
13277,635548,2019-06-30,t,$37.00,$37.00,2,7
